age,handle,revenue,race_month_2018-01-01,race_month_2018-02-01,race_month_2018-03-01,race_month_2018-04-01,race_month_2018-05-01,address_CA,address_FL,address_KY,address_NY,gender_Female,gender_Male,internet_/_shop_Desktop,internet_/_shop_Mobile,bet_type_category_Exotic,bet_type_category_WPS
25,20.0,1.4,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
31,12.0,0.96,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
51,12.0,1.44,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
40,24.0,1.6800000000000002,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
61,410.0,12.3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
25,6.0,0.42,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
34,215.0,15.05,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
27,42.0,5.04,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
58,4.0,0.32,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
60,205.0,14.35,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
50,4.0,0.28,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
48,5.0,0.15,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
30,5.0,0.55,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
61,2.0,0.06,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
27,5.0,0.6,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
18,5.0,0.55,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
49,4.0,0.44,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
51,200.0,6.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
31,5.0,0.6,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
39,10.0,0.3,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
25,60.0,4.8,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
25,5.0,0.6,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
56,10.0,0.3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
34,3.0,0.24,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
23,20.0,1.6,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
20,2.0,0.06,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
48,26.0,0.78,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
60,205.0,14.35,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
52,5.0,0.35000000000000003,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
26,19.0,2.28,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
23,21.0,2.52,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0
50,11.0,0.33,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
26,205.0,16.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
42,5.0,0.6,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
25,205.0,16.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
51,10.0,0.8,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
61,63.0,1.89,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
41,1704.0,119.28000000000002,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
23,4.0,0.32,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
50,4.0,0.28,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
23,5.999999999999999,0.7199999999999999,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
59,100.0,11.0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
54,98.0,6.86,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
25,3.0,0.09,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
34,311.0,9.33,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
40,17.0,1.36,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
40,334.5,36.795,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
22,20.0,2.4,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
57,8.0,0.24,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
24,5.0,0.15,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40,5.0,0.35000000000000003,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
23,5.0,0.55,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
57,40.0,1.2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
45,20.0,0.6,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
34,211.0,16.88,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
58,898.0,26.94,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
23,205.0,16.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
24,40.0,2.8000000000000003,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
62,3.0,0.36,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
37,80.0,2.4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1
62,5.0,0.6,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0
54,5.0,0.5,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
18,5.0,0.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
19,5.0,0.15,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
48,28.0,3.08,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
29,3.0,0.09,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0
56,2.0,0.06,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
35,20.0,0.6,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0
41,10.0,1.2,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
34,25.0,2.75,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
53,210.0,6.3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
41,13.0,1.56,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
52,400.0,12.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
47,234.99999999999991,25.84999999999999,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
24,192.0,5.76,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
27,55.0,3.850000000000001,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
31,16.0,1.28,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
31,98.99999999999996,10.889999999999995,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
42,205.0,14.35,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
18,20.0,2.4,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
57,5.0,0.6,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
52,50.0,3.5000000000000004,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
18,5.0,0.55,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
24,5.0,0.6,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
51,344.0,34.4,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
49,205.0,16.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
25,2.0,0.06,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
52,205.0,16.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
57,5.0,0.55,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
22,175.0,12.250000000000002,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
18,62.75,7.5299999999999985,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
46,11.0,0.33,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
23,4.0,0.32,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
55,3.0,0.21,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
25,99.0,2.97,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
58,3.0,0.09,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
20,245.0,7.35,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
20,205.0,6.15,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
25,292.0,35.04,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
61,195.0,5.85,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
48,205.0,14.35,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
65,12.0,0.8400000000000001,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
23,7.0,0.84,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
46,5.0,0.55,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
45,105.0,3.15,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
31,5.0,0.15,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
43,159.99999999999986,4.7999999999999945,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0
44,722.0,50.540000000000006,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
27,200.0,16.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
34,5.0,0.6,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
27,21.0,2.52,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
23,15.0,1.7999999999999998,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
27,2.0,0.06,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
22,268.0,29.48,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
23,5.0,0.55,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
18,42.0,2.9400000000000004,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
34,17.0,2.04,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
36,3080.9999999999995,338.91,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
32,205.0,16.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
50,2.0,0.21999999999999995,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
27,30.0,2.1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
25,20.0,2.4,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
41,30.0,2.1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
34,10.0,1.2,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0
36,5.0,0.6,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
24,7.000000000000003,0.21000000000000005,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
29,49.0,3.92,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
52,571.0,45.68,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
62,15.0,1.05,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
49,100.0,3.0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
45,5.0,0.35000000000000003,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
30,29.0,2.03,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
21,1224.0,36.72,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
49,91.0,7.28,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
51,5.0,0.6,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
24,5.0,0.35000000000000003,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
49,5.0,0.55,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
20,15.0,1.65,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
28,10.0,0.3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
27,30.0,2.4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
59,5.0,0.55,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
26,282.0,22.56,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
60,11.999999999999998,1.4399999999999995,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
56,275.0,22.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
20,43.0,5.16,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
26,355.0,28.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
51,20.0,0.6,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1
24,202.0,14.14,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
57,205.0,16.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
19,358.0,42.96,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
65,3.0,0.36,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
23,59.0,6.49,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
28,73.0,5.84,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
28,40.0,1.2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
22,5.0,0.5,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
34,139.0,16.68,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
22,13.0,1.43,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
61,43.0,3.01,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
47,95.0,6.65,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
40,146.0,4.38,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
30,70.0,5.6000000000000005,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
23,9.0,0.6300000000000001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
56,5.0,0.6,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
55,158.0,18.96,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
51,33.0,0.99,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
38,20.0,0.6,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
53,255.0,20.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
28,254.0,20.32,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
53,5.0,0.55,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
20,84.99999999999997,10.199999999999996,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0
56,3.0,0.33,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0
40,10.0,1.1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
56,205.0,14.35,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
29,10.0,0.7000000000000001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
55,9.0,1.08,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
60,8.0,0.56,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
41,205.0,6.15,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
55,50.0,6.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
22,3.0,0.33,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
55,17.0,0.51,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
57,17.0,1.87,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
59,100.0,11.0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
23,104.0,12.48,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
23,25.0,3.0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0
51,20.0,2.2,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
30,30.0,0.8999999999999999,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
47,243.0,7.29,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
26,200.0,14.000000000000002,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
27,5.0,0.15,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
25,30.0,2.1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
43,55.0,3.850000000000001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
45,5.0,0.55,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
21,68.0,5.44,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
41,15.0,1.2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
