,age,handle,revenue,betcount,race_month_2018-01-01,race_month_2018-02-01,race_month_2018-03-01,race_month_2018-04-01,race_month_2018-05-01,address_CA,address_FL,address_KY,address_NY,gender_Female,gender_Male,internet_/_shop_Desktop,internet_/_shop_Mobile,bet_type_category_Exotic,bet_type_category_WPS
0,18,200.0,20.0,5.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
1,18,25.0,2.5,1.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
2,18,42.0,4.2,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
3,18,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
4,18,205.0,20.5,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
5,18,141.0,14.1,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
6,18,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
7,18,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
8,18,200.0,20.0,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
9,18,1274.0,127.4,49.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
10,18,63.99999999999999,7.679999999999999,4.0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
11,18,365.0,36.5,43.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
12,18,65.00000000000003,7.8000000000000025,4.999999999999999,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
13,18,9.0,0.9,1.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
14,18,30.0,3.6,1.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
15,18,30.0,3.0,1.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
16,18,2.0,0.24,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
17,18,20.0,2.0,10.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
18,18,1050.0,105.0,5.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
19,18,5.0,0.6,2.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
20,18,5.0,0.6,0.9999999999999998,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
21,18,4.999999999999999,0.5999999999999999,2.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
22,18,5.0,0.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
23,18,205.0,20.5,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
24,18,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
25,18,1486.0,148.6,7.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
26,18,800.0,80.0,8.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
27,18,12536.0,1253.6,6.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
28,18,10.0,1.2,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
29,18,210.0,21.0,4.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
30,18,5.0,0.6,1.0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
31,18,4.0,0.4,2.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
32,18,2.0,0.24,1.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
33,18,5.0,0.5,1.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
34,18,10.0,1.0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
35,18,20.0,2.4,1.0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
36,18,80.0,9.6,16.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
37,18,960.0,96.0,103.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
38,18,100.00000000000004,12.000000000000005,14.999999999999993,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
39,18,941.0,94.1,107.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
40,18,432.99999999999983,51.95999999999998,45.99999999999999,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
41,18,1420.0,142.0,115.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
42,18,276.0,33.12,38.99999999999999,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
43,18,1274.0,127.4,72.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
44,18,192.0,23.04,14.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
45,18,256.0,25.6,14.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
46,18,12.0,1.44,2.0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
47,18,405.0,48.6,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
48,18,117.0,11.7,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
49,18,105.0,10.5,12.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
50,18,19.0,2.28,2.0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
51,18,688.0,68.8,136.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
52,18,7.0,0.84,1.0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
53,18,67.0,6.7,20.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
54,18,40.0,4.0,11.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1
55,18,14.0,1.4,4.0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1
56,19,15.0,1.7999999999999998,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
57,19,240.0,24.0,8.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
58,19,2.0,0.2,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
59,19,3.0,0.30000000000000004,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
60,19,14.0,1.68,5.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
61,19,11.0,1.1,4.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
62,19,7.0,0.7000000000000001,2.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
63,19,3.0,0.36,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
64,19,40.0,4.0,15.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
65,19,6.0,0.72,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
66,19,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
67,19,5.0,0.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
68,19,206.0,20.6,5.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
69,19,5.0,0.6,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
70,19,5.0,0.6,2.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
71,19,200.0,20.0,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
72,19,2500.0,250.0,3.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
73,19,5.0,0.5,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
74,19,205.0,20.5,3.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
75,19,2.0,0.24,1.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
76,19,205.0,20.5,3.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
77,19,2.0,0.24,1.0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
78,19,3.0,0.30000000000000004,1.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
79,19,5.0,0.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
80,19,2.0,0.24,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
81,19,3.0,0.30000000000000004,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
82,19,205.0,20.5,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
83,20,144.0,17.28,14.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
84,20,415.0,41.5,6.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
85,20,297.0,29.700000000000006,5.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
86,20,40.0,4.8,2.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
87,20,21.0,2.52,6.000000000000003,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
88,20,220.0,22.0,5.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
89,20,3.0,0.36,1.0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
